,ttext,date,isretweet,retweetcount,favoritecount,score,product,state,country,duplicate,airline_sentiment
107,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 7:52,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
108,"Diploma Electrical Engineer 8398063330: Markanda Job Placement - Hyderabad, Telangana - Andhra Pradesh - COMPANY NA  ",24/07/18 7:30,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
109,"Top MNC Medical Coding Biochemistry,Nutrition and Dietician,Anesthesia Tech Grads: ISKILLS MEDICAL CODING SOLUTIONS  ",24/07/18 7:30,FALSE,0,0,1,Employment,Andhra Pradesh,India,FALSE,positive
110,"Sr. Manager/ Manager: Navata - Vijayawada, Andhra Pradesh - Should have excellent communication &amp; administrative sk  ",24/07/18 7:30,FALSE,0,0,1,Employment,Andhra Pradesh,India,FALSE,positive
111,"Urgent hiring Branch Operation Manager ,Back Office executive in banking sector: Hyderabad, Telangana - Andhra Prad  ",24/07/18 7:30,FALSE,0,0,-1,Employment,Andhra Pradesh,India,FALSE,negative
112,"Urgent hiring Branch Operation Manager ,Back Office executive in banking sector: Hyderabad, Telangana - Andhra Prad  ",24/07/18 7:30,FALSE,0,0,-1,Employment,Andhra Pradesh,India,TRUE,negative
113,"Day Shift MNC Medical Coding Bsc,GNM,DGNM Nursing,Staff Nurse-5Days Working Job: ISKILLS MEDICAL CODING SOLUTIONS -  ",24/07/18 7:30,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
114,"Diploma Electrical Engineer 8398063330: Markanda Job Placement - Hyderabad, Telangana - Andhra Pradesh - COMPANY NA  ",24/07/18 7:30,FALSE,0,0,0,Employment,Andhra Pradesh,India,TRUE,neutral
115,"Lifescience and paramedical graduates in chennai,Thirunelveli,Coimbatore,Thindukka: ISKILLS MEDICAL CODING SOLUTION  ",24/07/18 7:30,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
116,"Work as Assistant Manager at Sanofi | M.Pharm,  ",24/07/18 6:58,FALSE,0,0,1,Employment,Andhra Pradesh,India,FALSE,positive
117,"Urgent Opening!! Krishna Consultants is hiring for Business Development  Executive for PAN  India (Nagpur, North (D  ",24/07/18 6:41,FALSE,0,0,-2,Employment,Andhra Pradesh,India,FALSE,negative
118,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 6:29,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
119,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 6:03,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
120,@BolshevikRetrns @NilimDutta Let me give you an example: A boy from AP from poor family posted this..he is from poo  ,24/07/18 5:54,FALSE,0,0,-1,Employment,Andhra Pradesh,India,FALSE,negative
